feature,importance
weight,0.1567394490417158
remi,0.06838658939402378
delivery_difference,0.05741931943108677
promised_delivery_month,0.052745321076588025
account_age_days,0.04016298735273617
numberitems,0.03942124795592172
order_month,0.037240007812642355
order_weekday,0.0334008419725674
newsletter_0,0.030021714118875133
w1,0.02986230173261774
case,0.029704892023437863
promised_delivery_weekday,0.02893304402605694
shippingcosts_0,0.024669994805462597
w9,0.021196514086610916
used,0.01980346684217381
deliverytype_1,0.019659855602600366
w0,0.01903677391679065
newsletter_1,0.01739612732319286
deliverytype_0,0.016932065442597323
voucher_0,0.016037839242317532
model_3,0.014966431816367804
w2,0.012906483561778842
voucher_1,0.012746991230861168
w5,0.01088481421051675
cancel,0.010879821617979941
w3,0.010694614959220635
product_diversity,0.009613446893583047
w10,0.008910620651127354
entry_0,0.008794744647897233
w7,0.00858656748053744
w6,0.008431417063728708
salutation_1,0.007870023089368846
has_ad_code,0.007832026463203183
model_2,0.007672297479168204
w4,0.0069959390022203945
domain_6,0.0066069977215822496
paymenttype_2,0.006201363387342175
domain_8,0.00617203648789191
domain_11,0.006080540756922937
salutation_2,0.005903285704184148
paymenttype_1,0.005604960436589324
domain_12,0.005325966546109771
shippingcosts_1,0.005264351445861053
paymenttype_3,0.005178186576702393
salutation_0,0.0051249725105063275
domain_4,0.004770482440258908
paymenttype_0,0.004666488424561985
entry_1,0.004434681037843843
domain_5,0.00349793366115468
domain_1,0.00332811670382956
domain_9,0.0030858849387997507
model_1,0.0030746455433050906
domain_0,0.0030682596218551015
domain_2,0.0021375042545810656
title_0,0.0013950505784175045
gift_0,0.0006340453607572994
domain_3,0.000572917422881994
domain_7,0.0004979821581699557
domain_10,0.0004601113395228507
title_1,0.0002016513840923178
gift_1,0.00015499018870046883
w8,0.0
