feature,importance
weight,0.09354422407619865
remi,0.057986441119009205
order_month,0.052865198539690725
delivery_difference,0.04888925082067259
promised_delivery_month,0.04841040876237669
numberitems,0.0438755692981214
order_weekday,0.03430058955447173
newsletter_0,0.034142787020353234
case,0.03386034794897825
shippingcosts_1,0.03276247980951996
w0,0.029626787699220024
newsletter_1,0.02931208074323334
promised_delivery_weekday,0.028317062553752388
w1,0.025014861415708557
account_age_days,0.019189504698184316
shippingcosts_0,0.01763888160189308
deliverytype_1,0.017132731802162196
voucher_1,0.016278677326299555
model_3,0.01540382986252068
product_diversity,0.015188961557807787
paymenttype_1,0.014861187232889365
w10,0.013362120072301286
w9,0.012962411989929269
w2,0.012070842491891968
w5,0.01185976267957114
salutation_1,0.01182996939448969
used,0.011525768161614864
voucher_0,0.011471657156288709
salutation_2,0.010676880677456613
cancel,0.010617044276829368
deliverytype_0,0.010363826494167018
salutation_0,0.01027796272245091
domain_12,0.009778925730270465
entry_1,0.009755611693979847
has_ad_code,0.009650227490890635
entry_0,0.009596424864751592
domain_4,0.009300893320589258
domain_9,0.009169711463356921
model_2,0.008974863548693325
paymenttype_0,0.008854825015834395
model_1,0.008717954237412168
paymenttype_3,0.008312150709654503
domain_8,0.008112048989021006
paymenttype_2,0.007083067735371747
w4,0.006246321277269221
domain_11,0.005841836681805074
w3,0.0054710025634457
domain_5,0.005252467933757568
domain_2,0.005112568038903259
domain_0,0.005033637040725427
domain_1,0.004773883248322103
domain_6,0.004564960152380291
w6,0.003701024055123633
w7,0.00286112503091523
domain_3,0.0022831922121549944
title_1,0.0014825259869327393
domain_7,0.001118756135840569
title_0,0.0010735156807865369
gift_1,0.0010131629147035596
domain_10,0.0007299190137741984
gift_0,0.00046824002106145887
w8,4.50476522181752e-05
