feature,importance
newsletter_1,0.07344144
shippingcosts_0,0.068719655
newsletter_0,0.040685184
paymenttype_1,0.03610227
remi,0.035700276
deliverytype_0,0.028385205
voucher_1,0.026454957
shippingcosts_1,0.025967998
voucher_0,0.020650199
model_3,0.020257616
entry_1,0.017426113
used,0.017186498
w5,0.017050857
promised_delivery_month,0.016504135
salutation_2,0.016162058
entry_0,0.016066514
domain_6,0.015830114
case,0.015712595
numberitems,0.01559752
w1,0.015213556
domain_0,0.015169043
w3,0.014784365
account_age_days,0.0146246115
weight,0.014592503
model_2,0.014310613
model_1,0.014300262
domain_3,0.013989352
order_month,0.013895508
cancel,0.013621498
title_0,0.013216382
promised_delivery_weekday,0.013007656
w9,0.012942316
w0,0.012860029
w10,0.01264638
w4,0.0125975935
domain_11,0.01256619
w2,0.012317484
delivery_difference,0.012294592
has_ad_code,0.012059042
paymenttype_0,0.011965124
domain_4,0.011736099
domain_8,0.011656423
paymenttype_3,0.011604588
domain_1,0.011540851
domain_9,0.011348727
product_diversity,0.011129099
domain_2,0.010937512
paymenttype_2,0.010935076
gift_0,0.010565663
salutation_1,0.010457223
order_weekday,0.010061899
w7,0.010016814
salutation_0,0.009838978
domain_5,0.00974317
w6,0.0097392965
domain_12,0.008973743
domain_7,0.00795226
domain_10,0.007494832
deliverytype_1,0.007392446
w8,0.0
gift_1,0.0
title_1,0.0
