feature,importance
shippingcosts_0,0.050162762
newsletter_1,0.04840037
remi,0.048279647
newsletter_0,0.04037569
deliverytype_1,0.03564283
shippingcosts_1,0.033056263
paymenttype_1,0.031210458
deliverytype_0,0.029640662
voucher_1,0.02042375
voucher_0,0.019637685
used,0.01959732
w3,0.018722503
cancel,0.017383523
account_age_days,0.017366005
salutation_2,0.016371325
domain_6,0.015415165
w7,0.01506862
w5,0.014710197
domain_11,0.014468533
numberitems,0.014378106
w10,0.014240687
domain_10,0.014100675
w1,0.014030581
w6,0.013938129
model_3,0.013673715
w4,0.0134682
domain_7,0.013403441
w9,0.013335654
domain_0,0.013271616
domain_1,0.013244308
model_2,0.01324074
domain_8,0.013020529
w2,0.012951667
domain_5,0.012824196
entry_0,0.01276603
case,0.012750728
promised_delivery_month,0.012743831
order_month,0.012627769
weight,0.012538032
domain_12,0.012255198
domain_2,0.012248305
entry_1,0.012143386
delivery_difference,0.012103652
has_ad_code,0.012039009
domain_4,0.011969941
paymenttype_3,0.011921083
domain_3,0.011602027
w0,0.011461655
paymenttype_2,0.011414499
domain_9,0.011272414
product_diversity,0.011108202
promised_delivery_weekday,0.010818166
order_weekday,0.010282642
salutation_1,0.010176127
salutation_0,0.010047335
model_1,0.009736684
gift_0,0.0094566895
title_0,0.00933971
paymenttype_0,0.009319299
title_1,0.006802084
gift_1,0.0
w8,0.0
